alert_id,coleta_utc,data,hora_utc,hora_brt,dia_semana,latitude,longitude,tipo,subtipo,sentido_via,confiabilidade,thumbs_up,rua,descricao,emissao_utc,emissao_brt
548398336,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.602894,-46.627851,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),10,12,R. Ouvidor Peleja,,,
548990661,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.602328,-46.613892,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),5,0,R. Salvador Simões,,,
548947131,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.598939,-46.616733,POLICE,,Sentido ABC (Sul),5,0,R. Cel. Domingos Ferreira,,,
548985397,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.57155,-46.624147,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),7,2,R. Antônio Tavares,,,
540580766,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.565144,-46.609221,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,35,R. Pres. Costa Pinto,,,
536879666,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.563589,-46.612388,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,11,Pç. Alberto Lion,,,
548945649,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.600495,-46.622377,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),7,2,R. Santa Cruz,,,
547862095,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.594207,-46.629186,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),10,14,R. Dr. Barros Cruz,,,
548858399,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.583857,-46.60769,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Sentido Centro (Norte),5,0,R. Bom Pastor,,,
548906728,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.578618,-46.611646,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,9,Av. Dr. Ricardo Jafet,,,
544401112,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.55798,-46.617807,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),10,12,Av. do Estado - Pista Lateral,,,
548959403,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.564481,-46.617335,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),10,7,R. Clímaco Barbosa,,,
547425385,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.570078,-46.595673,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,18,R. Barão de Monte Santo,,,
539978442,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.572897,-46.611069,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,23,Av. D. Pedro I - Pista Lateral,,,
548799133,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.567432,-46.598311,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Sentido Centro (Norte),10,6,R. D. Joaquim de Melo,,,
548385920,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.55898,-46.615147,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),10,5,Av. do Estado - Pista Lateral,,,
548990489,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.552602,-46.619009,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),6,1,Av. Alcântara Machado,,,
548526041,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.553016,-46.602999,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),8,3,R. dos Trilhos,,,
724812192,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.550318,-46.606463,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,277,Av. Alcântara Machado,,,
548651390,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.578558,-46.600269,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,12,Av. do Estado,,,
725402665,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.580603,-46.599753,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,203,Av. do Estado,,,
547443541,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.580481,-46.599749,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,7,Av. do Estado,,,
548899901,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.572335,-46.604306,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),8,3,Av. do Estado,,,
548738481,2026-04-07 02:57:33,2026-04-06,02:57,23:57,Monday,-23.577987,-46.600575,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),10,10,Av. do Estado,,,
549134318,2026-04-07 05:20:24,2026-04-07,05:20,02:20,Tuesday,-23.602388,-46.612034,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido Centro (Norte),9,4,Av. Dr. Gentil de Moura,,,
549337283,2026-04-07 05:20:24,2026-04-07,05:20,02:20,Tuesday,-23.572135,-46.624216,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Sentido ABC (Sul),5,0,Av. Lacerda Franco,,,
549468713,2026-04-07 05:20:24,2026-04-07,05:20,02:20,Tuesday,-23.559958,-46.599926,POLICE,,Sentido Centro (Norte),5,0,Av. Paes de Barros,,,
